id,nom,region,ville,produits_phares,score_priorite,rang,source,justification,project,human_approved,publication_authorized,partner_status
ATLAS-020,Coopérative Al Amal (PAM),Fès-Meknès,"Aït Yahya Ouala, Takrikra",Plantes aromatiques et médicinales; huiles; couscous,85,1,https://www.coopmarketplace.ma/cooperative/la-cooperative-agricole-al-amal-pour-les-plantes-aromatiques-et-medicinales/214,"Fiche ODCO: coopérative féminine à Takrikra, région Fès-Meknès, activités PAM et téléphone public.",atlas,false,false,non_etabli
ATLAS-001,Coopérative Aloabiben,Fès-Meknès,Fès,Cosmétiques naturels; gel aloe vera; soins visage et corps,80,2,https://aloabiben.com/ | https://aloabiben.com/contact/,"Implantation à Fès, catalogue cosmétique en ligne et email/téléphone affichés sur le site.",atlas,false,false,non_etabli
ATLAS-003,Coopérative féminine de la distillation des PAM,Fès-Meknès,"Meknès, 5 Zankat Sbou",Huile d'argan cosmétique; huile d'amande douce; huile de nigelle; couscous Khoumassi,80,3,https://terroirdumaroc.gov.ma/marketplace/seller/profile/shop/CooprativeFmininededistilationdesPAM,Coopérative féminine à Meknès; huiles en 30 ml et couscous en 1 kg sur la fiche institutionnelle.,atlas,false,false,non_etabli
ATLAS-002,Coopérative Lambarkia,Fès-Meknès,"Aïn El Orma, Al Ismailia",Miel multifleurs; miel d'eucalyptus; miel de jujubier,60,4,https://terroirdumaroc.gov.ma/fr_ma/marketplace/seller/profile/shop/Lambarkia,Fiche institutionnelle situant l'activité en Fès-Meknès; miels proposés en pots de 250 g.,atlas,false,false,non_etabli
ATLAS-009,Coopérative TIFAOUT,Souss-Massa,"Talgjount, Ouled Berhil, Taroudant",Huile d'argan; produits alimentaires et cosmétiques dérivés,60,5,https://argtifaout.com/a-propos/,"Site de la coopérative féminine à Talgjount, produits d'argan, boutique et coordonnées directes.",atlas,false,false,non_etabli
ATLAS-010,Coopérative Taitmatine,Souss-Massa,"Tiout, province de Taroudant",Huile d'argan alimentaire et cosmétique,60,6,https://cooptaitmatine.com/fr/,"Site d'une coopérative féminine à Tiout, gamme argan, lien boutique et coordonnées directes.",atlas,false,false,non_etabli
ATLAS-029,Coopérative TAMO,Marrakech-Safi,"Aït Ourir, Hay Goghrda",Huile d'argan; huile de lin; savon noir; shampoing romarin,60,7,https://cooperativetamo.com/,"Site présentant une coopérative de femmes, formats de produits, commande et coordonnées.",atlas,false,false,non_etabli
ATLAS-025,Coopérative Azouhor,Fès-Meknès,"Fès, quartier industriel Aïn Naqbi",Produits traditionnels en cuivre et argenterie,57,8,https://www.annuaire-gratuit.ma/cooperatives/cooperative-artisanat/cooperative-azouhor-s240142.html,"Annuaire confirmant Fès, téléphone et activité cuivre/argenterie.",atlas,false,false,non_etabli
ATLAS-014,Coopérative Atlas Ourgh,Souss-Massa,"Tafraout, province de Tiznit",Huile d'argan alimentaire et cosmétique; amlou; savons,55,9,https://www.cooperative-atlasworgh.com/,Site d'une coopérative féminine à Tafraout; gamme argan et contact direct.,atlas,false,false,non_etabli
ATLAS-021,Coopérative El Masoudi Tissage,Marrakech-Safi,Ighoud,Tapis berbères; hanbels; tissages plats,55,10,https://cooperativeelmasouditissage.com/,"Site d'une coopérative féminine à Ighoud, tapis et tissages faits main, coordonnées directes.",atlas,false,false,non_etabli
ATLAS-023,Coopérative Zalyj Albaldy Alfasi,Fès-Meknès,"Fès, Jnan Ben Kirane","Artisanat: gypse, bois et teintures selon annuaire",52,11,https://www.annuaire-gratuit.ma/cooperatives/cooperative-artisanat/cooperative-zalyj-albaldy-alfasi-s240588.html,Annuaire confirmant Fès et le téléphone; spécialité publiée différente du zellige indiqué dans le CSV.,atlas,false,false,non_etabli
ATLAS-024,Coopérative Asaada de Zlij Traditionnel Alfasi,Fès-Meknès,Fès,Zellige traditionnel: catalogue à confirmer,52,12,https://www.annuaire-gratuit.ma/recherche/administration-d-artisanat-ville-fes.html,"Résultat d'annuaire indexé associant la dénomination Asaada de zalij, Fès et le téléphone.",atlas,false,false,non_etabli
ATLAS-026,Coopérative Dar Jellaba Labziouia,Fès-Meknès,Fès,Artisanat; assortiment textile à confirmer,52,13,https://www.annuaire-gratuit.ma/cooperatives/cooperative-artisanat/cooperative-dar-jellaba-labziouia-s239946.html,"Extrait indexé d'annuaire confirmant la dénomination, Fès et deux téléphones.",atlas,false,false,non_etabli
ATLAS-006,Coopérative Tamaynout,Souss-Massa,"Drarga, douar Azrarag",Huile d'argan,45,14,https://www.coopmarketplace.ma/cooperative/tamaynout/612,"Fiche ODCO: collectif de femmes à Drarga, activité argan et téléphone public.",atlas,false,false,non_etabli
ATLAS-007,Coopérative Tighanimine,Souss-Massa,"Drarga, douar Tighanimine Aït Abbas",Argan; amlou; miel,45,15,https://coopmarketplace.ma/An/cooperative/tighanimine/217,"Fiche ODCO avec activité argan, amlou et miel, groupe de femmes et téléphone concordant.",atlas,false,false,non_etabli
